lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,lineargh,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,lineround,linecfp,linepig,neutral,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,linekerns,lineteamrank,linel2,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineavg,linestd,linemedian,phcover,phwin,lineca
-10,-9,James Madison,Liberty,-1,,,,-7.42,,-5.28,-6.085,-7.22,,-4.2,-4.3,-5,-7.7,,-6.91,6.5,,-4.8,-2.1,-3.21,-2.68,-1.02,-8.79,-12.78,-18,-4.324,-8.36,,,,0,-9.28,-14.2,-7.963085131,,-9.5,-8.2392,,,,,-13.8,-6.2,,,-9.1,-14,-11.66,-10.813,-2.33,-9.27,-6.879826822,4.6298617928,-7.22,0.5365023177,0.3392389862,-9
1.5,3,Southern Miss.,Louisiana Tech,8,,,,18.86,,18.1,1.485,10.22,,5.5,5.2,7.3,10.1,,12.22,18,,1.3,10.3,8.38,8.75,6.35,11.46,12.61,19,3.7597,21.41,,,,0,11.96,5.63,8.9902031792,,12.04,15.8915,,,,,27.5,9.3,,,14.7,7,10.14,15.061,9.32,-3.67,10.762648581,6.3195492018,10.14,0.6292328357,0.734918756,4
26,26.5,Bowling Green,Louisville,16,,,,26.2,,30.73,20.061,20.64,,33.1,30.4,32.6,22.3,,27.06,15,,24.5,21.3,23.31,22.5,25.43,26.54,24.48,21,14.881,22.66,,,,0,12.53,26.02,20.482910028,,17.83,22.4835,,,,,16.8,22.5,,,25.55,17,22.03,25.152,21.45,32.03,23.198497274,5.1378830807,22.5,0.4435314133,0.9170336061,26
-6,-7,Arkansas,Memphis,13.5,,,,-6.87,,-5.35,-0.703,-8.33,,-13.2,-10.3,-10.6,-1.4,,-4.92,13.5,,-6.8,-6.7,-0.99,-1.06,-0.9,-2.57,-5.5,-16,-2.2823,-4.68,,,,0,5.45,-1.84,3.68380585,,-2.3,-4.5092,,,,,1,-9.3,,,1.05,-4,1.42,-6.024,-4.29,2.63,-2.884384671,6.3566387928,-2.57,0.5693782932,0.433250553,-6.5
8.5,7.5,Florida,Miami (Fla.),15,,,,9.42,,9.28,9.831,9.11,,3.6,5.5,5.7,9.4,,2.69,16.5,,7.5,10.7,9.84,8.85,9.59,12.53,10.82,14,7.3607,8.08,,,,0,11.7,5.64,13.088719301,,7.79,11.9227,,,,,18.6,6.6,,,12.95,11,11.47,12.323,10.24,13.48,10.033518767,3.5281664898,9.831,0.5439617187,0.7306160233,8
-4,-2.5,UNLV,Miami (Ohio),-7,,,,0.89,,7.77,-6.571,-3.66,,-10.9,-9.6,-10.8,-5.6,,-6.01,4,,-3.3,-9,-0.86,0.47,-1.22,-3.6,-4.42,-6,-3.2601,-3.19,,,,0,-15.28,-10.94,-2.915326063,,-1.46,-9.6182,,,,,-1.4,-3.9,,,-8.75,-23,-10.24,-7.137,1.19,-2.27,-4.684291699,4.8404588223,-3.9,0.4624666331,0.3892656221,-2.5
-3,-2.5,Marshall,Middle Tenn.,-9.5,,,,-8.52,,-1.64,-0.874,-9.36,,-13.7,-10,-13.1,-11.7,,-12.74,-10.5,,-2.5,-0.6,-4.41,-4.94,-4.03,-6.63,-10.5,-17,-5.4736,-16.39,,,,0,-7.4,-10.43,-17.04861624,,-8.72,-11.8774,,,,,5.5,-6.4,,,-9.45,-5,-9.76,3.474,-4.57,-4.72,-7.742715644,5.4058070417,-8.72,0.4110128471,0.322730963,-3.5
12.5,11.5,Tulane,Mississippi,13,,,,18,,8.64,13.201,19.38,,14.9,14.1,15,15.7,,19.37,8,,10,15.7,16.53,15.69,16.28,20.66,18.21,15,13.8405,16.21,,,,0,9.63,7,11.621615245,,14.26,17.3202,,,,,29.4,18.5,,,13.65,12,15.42,21.322,15.41,15.58,15.349251977,4.2888230382,15.42,0.5662459194,0.8238175046,12.5
21.5,21.5,Northern Ill.,Mississippi St.,12,,,,24.27,,17.5,18.931,18.72,,27,23.6,25.4,12.9,,21.23,-3,,20,15.7,18.12,18.63,16.6,22.94,20.81,23,14.6889,17.05,,,,0,3.39,21.11,12.653142066,,15.11,6.1901,,,,,32.15,28.1,,,23.8,23,16.47,13.471,15.95,29.93,18.315580063,7.2969234043,18.63,0.4468182527,0.8519673356,21.5
10.5,12,South Carolina,Missouri,14.5,,,,9.93,,12.31,1.767,12.05,,3.4,4.2,4.2,9.1,,8.09,1,,13.5,11.1,8.84,8.34,6.16,13.53,15.34,11,9.7681,8.33,,,,0,14.88,11.87,7.816032832,,16.64,-0.5163,,,,,-74,13,,,10.85,22,9.69,11.613,12.37,11.03,7.0211464495,15.145165745,9.93,0.4275519339,0.6252690348,12
-1,-2.5,Michigan,Nebraska,-5.5,,,,-2.17,,3.3,0.505,3.86,,-2.3,-2.6,-3.7,-2.1,,-7.01,-2.5,,-2.3,3.6,3.42,3.18,2.65,4.36,0.24,4,0.0948,0.63,,,,0,-2.27,0.34,5.173601081,,3.06,4.1089,,,,,-6,2.9,,,1.05,9,-2.48,0.651,-4.84,-3.32,-0.059596937,3.4177697917,0.34,0.5423829329,0.4985413447,-2.5
26.5,25,Purdue,Notre Dame,21.5,,,,36.1,,52.06,27.715,19.39,,36,35.1,37.9,25.6,,27.6,25.5,,24.5,25.8,31.14,30,34.05,35.68,24.53,24,20.3766,36.43,,,,0,26.32,17.9,18.972772584,,11.68,33.3368,,,,,25.35,27.6,,,25.2,-9,21.95,32.019,23.88,31.33,28.076065836,7.5954349864,26.32,0.5511833205,0.9441144693,25
6.5,6.5,Auburn,Oklahoma,10,,,,14.2,,9.53,3.416,5.71,,9.2,8.6,9.3,6.3,,6.57,1,,7.1,8.1,6.7,6.16,5.24,9.41,8.45,3,4.0641,4.41,,,,0,9.37,2.06,-0.300292134,,8.44,7.6877,,,,,8.95,6.8,,,6.65,6,9.5,2.83,10.59,6.48,6.8338638747,3.0678739653,6.8,0.5058215992,0.6631460229,6.5
14,13,Tulsa,Oklahoma St.,17,,,,12.9,,6.14,16.78,14.23,,25.2,21.4,24.3,21.4,,20.11,6.5,,15.5,13.3,17.54,16.02,19.74,19.94,10.83,-1,10.8941,13.27,,,,0,0.32,8.85,19.023653745,,4.45,18.6079,,,,,11,10.3,,,14.959,-13,21.76,19.996,15.05,24.68,14.878504659,6.6333146569,15.5,0.5316918328,0.8056252542,13
37,35,Oregon St.,Oregon,36,,,,42.7,,38.3,23.826,37.47,,44.4,42.1,44.8,40.5,,33.12,31,,25,34.6,37.56,35.5,36.16,51,43.99,52,36.1883,49.14,,,,0,32.6,25.99,35.539235026,,40.62,42.6461,,,,,52.45,37.8,,,41.965,45,44.81,45.359,28.67,34.13,38.725261667,7.388244887,37.8,0.5620733136,0.9862546929,35
-2,-2.5,Iowa,Rutgers,2,,,,2.18,,7.22,-3.324,2.57,,-0.2,-0.3,0.6,-3.3,,-3.11,-7.5,,-3.3,-2.6,2.98,3.45,2.3,2.69,4,7,1.6385,0.05,,,,0,0.38,2.14,0.720492095,,7.21,-7.4636,,,,,0.4,1.8,,,2.1,5,1.12,2.585,-0.31,-3.32,0.6789815786,3.5314085787,1.12,0.5550964055,0.5165889155,-1.5
-13,-12,California,San Diego St.,-12.5,,,,-16.09,,-7.57,-15.309,-16.16,,-14.8,-14.8,-16.7,-17.4,,-14.11,-6.5,,-11.5,-14.9,-9.74,-9.5,-9.39,-14.25,-14.5,-17,-10.8925,-12.47,,,,0,-8.68,-13.73,-19.41297273,,-9.44,-21.2766,,,,,-25.7,-16.6,,,-19.95,-10,-17.02,-23.167,-15.73,-18.02,-14.69115372,4.4221322743,-14.8,0.453625711,0.1872041581,-12.5
14,14.5,Coastal Carolina,South Alabama,9,,,,19.23,,11.79,6.031,13.5,,19.3,19.3,20.6,13.6,,13.1,10.5,,6.8,15.3,17.45,18.4,14.59,23.16,22.3,30,15.0604,23.92,,,,0,13.77,20.14,17.916555626,,19.86,17.1405,,,,,20.25,17.8,,,18.417,16,16.95,23.17,18.24,17.68,17.098953201,5.015978174,17.8,0.5445598411,0.8469392211,15
